IPR000001,Kringle,Kringle,DOMAIN
IPR000003,Retinoid X receptor/HNF4,"",FAMILY
IPR000006,"Metallothionein, vertebrate","",FAMILY
IPR000007,"Tubby, C-terminal","",DOMAIN
IPR000008,C2_dom,C2 domain,DOMAIN
IPR000009,PP2A_PR55,Protein phosphatase 2A regulatory subunit PR55,FAMILY
IPR000010,Cystatin_dom,Cystatin domain,DOMAIN
IPR000011,Ubiquitin/SUMO-activating enzyme E1,"",FAMILY
IPR000012,Retroviral VpR/VpX protein,"",FAMILY
IPR000013,Peptidase_M7,"Peptidase M7, snapalysin",FAMILY
IPR000014,PAS,PAS domain,DOMAIN
IPR000015,Fimb_usher,Outer membrane usher protein,FAMILY
IPR000018,P2Y purinoceptor 4,"",FAMILY
IPR000020,Anaphylatoxin/fibulin,"",DOMAIN
IPR000021,Hok/gef_toxin,Hok/gef cell toxic protein,FAMILY
IPR000023,Phosphofructokinase_dom,Phosphofructokinase domain,DOMAIN
IPR000025,Melatonin receptor family,"",FAMILY
IPR000026,Gua-sp_ribonuclease_N1/T1/U2,Guanine-specific ribonuclease N1/T1/U2,FAMILY
IPR000028,Chloroperoxidase,"",DOMAIN
IPR000030,PPE_family,PPE family,FAMILY
IPR000031,PurE_dom,PurE domain,DOMAIN
IPR000032,HPr-like,Phosphocarrier protein HPr-like,DOMAIN
IPR000033,LDLR_classB_rpt,LDLR class B repeat,REPEAT
IPR000034,Laminin_IV,Laminin IV,DOMAIN
IPR000035,Alkylbase_DNA_glycsylse_CS,"Alkylbase DNA glycosidase, conserved site",CONSERVED_SITE
IPR000036,Peptidase_A26_omptin,"Peptidase A26, omptin",FAMILY
IPR000037,SsrA-bd_prot,SsrA-binding protein,FAMILY
IPR000039,Ribosomal protein L18e,"",FAMILY
IPR000040,AML1_Runt,Acute myeloid leukemia 1 protein (AML1)/Runt,FAMILY
IPR000043,Adenosylhomocysteinase-like,Adenosylhomocysteinase-like,FAMILY
IPR000044,Uncharacterised_lipoprot_MG045,Uncharacterised lipoprotein MG045,FAMILY
IPR000045,Prepilin_IV_endopep_pep,"Prepilin type IV endopeptidase, peptidase domain",DOMAIN
IPR000046,Neurokinin NK1 receptor,"",FAMILY
IPR000047,HTH_motif,Helix-turn-helix motif,CONSERVED_SITE
IPR000048,IQ_motif_EF-hand-BS,"IQ motif, EF-hand binding site",BINDING_SITE
IPR000049,ET-Flavoprotein_bsu_CS,"Electron transfer flavoprotein, beta-subunit, conserved site",CONSERVED_SITE
IPR000052,Potex/carlavirus coat protein,"",DOMAIN
IPR000053,Thymidine/pyrmidine_PPase,Thymidine/pyrimidine-nucleoside phosphorylase,FAMILY
IPR000054,Ribosomal protein L31e,"",FAMILY
IPR000055,Restrct_endonuc_typeI_HsdS,"Restriction endonuclease, type I, HsdS",DOMAIN
IPR000056,Ribul_P_3_epim-like,Ribulose-phosphate 3-epimerase-like,FAMILY
IPR000057,CXC chemokine receptor 2,"",FAMILY
