Newick_label  ,PNUSA number,Isolation Source
SRR7010910,PNUSAE013098,romaine lettuce
SRR7073055,PNUSAE013276,romaine lettuce
SRR7050057,PNUSAE013174,romaine lettuce
SRR7050067,PNUSAE013172,romaine lettuce
SRR7086614,PNUSAE013140,romaine lettuce
SRR7073181,PNUSAE013141,romaine lettuce
SRR7073182,PNUSAE013139,romaine lettuce
SRR7073047,PNUSAE013142,romaine lettuce
SRR7048481,PNUSAE013126,romaine lettuce
SRR7073180,PNUSAE013137,romaine lettuce
SRR7050068,PNUSAE013176,romaine lettuce
SRR7048511,PNUSAE013125,romaine lettuce
SRR7012912,PNUSAE013041,romaine lettuce
SRR7073053,PNUSAE013138,romaine lettuce
SRR7012957,PNUSAE013124,romaine lettuce
SRR7178245,PNUSAE013985,romaine lettuce
SRR7664568,PNUSAE016252,romaine lettuce
SRR7403792,PNUSAE014154,romaine lettuce
SRR7735979,PNUSAE016253,romaine lettuce
SRR7178237,PNUSAE013932,romaine lettuce
SRR7191452,PNUSAE014062,romaine lettuce
SRR7244098,PNUSAE014274,romaine lettuce
SRR7244130,PNUSAE014150,romaine lettuce
SRR7178235,PNUSAE013931,romaine lettuce
SRR7244111,PNUSAE014149,romaine lettuce
SRR7178174,PNUSAE013687,romaine lettuce
SRR7188634,PNUSAE013686,romaine lettuce
SRR7414417,PNUSAE014813,romaine lettuce
SRR7133485,PNUSAE013606,romaine lettuce
SRR7413720,PNUSAE014452,romaine lettuce
SRR7456213,PNUSAE015196,romaine lettuce
SRR7456327,PNUSAE015180,romaine lettuce
SRR7726361,PNUSAE016257,romaine lettuce
SRR7155574,PNUSAE013827,romaine lettuce
SRR7133455,PNUSAE013761,romaine lettuce
SRR7188627,PNUSAE014058,romaine lettuce
SRR7094060,PNUSAE013456,romaine lettuce
SRR7058050,PNUSAE013313,romaine lettuce
SRR7094061,PNUSAE013458,romaine lettuce
SRR7432622,2018C-3902j,romaine lettuce
SRR7767430,PNUSAE016255,romaine lettuce
SRR7432638,2018C-3902b,romaine lettuce
SRR7432705,2018C-3902f,romaine lettuce
SRR7432719,2018C-3902h,romaine lettuce
SRR7432746,2018C-3902i,romaine lettuce
SRR7432666,2018C-3902g,romaine lettuce
SRR7432761,2018C-3902c,romaine lettuce
SRR7432774,2018C-3902a,romaine lettuce
SRR7432734,2018C-3902d,romaine lettuce
SRR7145604,PNUSAE013525,romaine lettuce
SRR7432691,2018C-3902e,romaine lettuce
SRR7641331,PNUSAE016481,romaine lettuce
SRR7505698,PNUSAE015677,romaine lettuce
SRR7537979,PNUSAE015615,romaine lettuce
SRR7620589,PNUSAE016045,romaine lettuce
SRR7050092,PNUSAE013338,romaine lettuce
SRR7631803,PNUSAE015740,
SRR7822043,PNUSAE017579,
SRR7825899,PNUSAE018253,
SRR7736021,PNUSAE017173,
SRR7805303,PNUSAE018089,
SRR7825942,PNUSAE017932,
SRR7804301,PNUSAE018090,
SRR7735980,PNUSAE017272,
SRR7736037,PNUSAE017355,
SRR7691668,PNUSAE017011,
SRR7739438,PNUSAE017175,
SRR7439048,PNUSAE015077,
SRR7233626,PNUSAE014332,
SRR7503336,PNUSAE015413,
SRR7191444,PNUSAE014113,
SRR7736007,PNUSAE017434,
SRR7233629,PNUSAE014324,
SRR7477745,PNUSAE014916,
SRR7075058,PNUSAE013468,
SRR7804303,PNUSAE018092,
SRR7641487,PNUSAE016107,
SRR7736003,PNUSAE017432,
SRR7456373,PNUSAE014722,
SRR7735984,PNUSAE017308,
SRR7178156,PNUSAE014023,
SRR7155547,PNUSAE014039,
SRR7133065,PNUSAE013542,
SRR7107010,PNUSAE013415,
SRR7179838,PNUSAE013497,
SRR7179892,PNUSAE014032,
SRR7107021,PNUSAE013540,
SRR7133481,PNUSAE013695,
SRR7152974,PNUSAE013375,
SRR7094157,PNUSAE013614,
SRR7073056,PNUSAE013340,
SRR7073057,PNUSAE013344,
SRR7074911,PNUSAE013551,
SRR7145635,PNUSAE013669,
SRR7155501,PNUSAE013967,
SRR7119588,PNUSAE013778,
SRR7145607,PNUSAE013844,
SRR7178197,PNUSAE013546,
SRR7119587,PNUSAE013776,
SRR7178138,PNUSAE014074,
SRR7178164,PNUSAE014078,
SRR7074918,PNUSAE013556,
SRR7248750,PNUSAE014416,
SRR7145603,PNUSAE013581,
SRR7119597,PNUSAE013780,
SRR7145602,PNUSAE013522,
SRR7178139,PNUSAE014075,
SRR7119594,PNUSAE013781,
SRR7145612,PNUSAE013843,
SRR7074915,PNUSAE013552,
SRR7155517,PNUSAE013969,
SRR7178158,PNUSAE014077,
SRR7145600,PNUSAE013523,
SRR7074912,PNUSAE013549,
SRR7075068,PNUSAE013550,
SRR7074913,PNUSAE013555,
SRR7145688,PNUSAE013813,
SRR7178141,PNUSAE014081,
SRR7178150,PNUSAE014079,
SRR7195060,PNUSAE013670,
SRR7155502,PNUSAE013968,
SRR7178142,PNUSAE014076,
SRR7155518,PNUSAE013966,
SRR7178157,PNUSAE014080,
SRR7119592,PNUSAE013777,
SRR7073006,PNUSAE013373,
SRR7074914,PNUSAE013553,
SRR7133081,PNUSAE013816,
SRR7431554,2018C-3900c,
SRR7219473,PNUSAE014194,
SRR7050023,PNUSAE013304,
SRR7119777,PNUSAE013648,
SRR7107026,PNUSAE013541,
SRR7431558,2018C-3900d,
SRR7431560,2018C-3901b,
SRR7271400,PNUSAE014473,
SRR7074910,PNUSAE013557,
SRR7431552,2018C-3900h,
SRR7107022,PNUSAE013539,
SRR7178106,PNUSAE013912,
SRR7244102,PNUSAE014250,
SRR7248756,PNUSAE014059,
SRR7431555,2018C-3900f,
SRR7431551,2018C-3900g,
SRR7431557,2018C-3900b,
SRR7431550,2018C-3900a,
SRR7431556,2018C-3900e,
SRR7414491,PNUSAE014763,
SRR7133082,PNUSAE013767,
SRR7178209,PNUSAE013784,
SRR7166289,PNUSAE013850,
SRR7178215,PNUSAE013783,
SRR7479019,PNUSAE015296,
SRR7166300,PNUSAE013897,
SRR7155575,PNUSAE013919,
SRR7178186,PNUSAE014008,
SRR7503829,PNUSAE014121,
SRR7166288,PNUSAE013849,
SRR7191440,PNUSAE014092,
SRR7133084,PNUSAE013676,
SRR7133083,PNUSAE013677,
SRR7133086,PNUSAE013769,
SRR7126289,PNUSAE013661,
SRR7166292,PNUSAE013848,
SRR7431559,2018C-3901c,
SRR7432678,2018C-3901f,
SRR7432653,2018C-3901e,
SRR7620566,PNUSAE016100,
SRR7431553,2018C-3901a,
SRR7431561,2018C-3901d,
SRR7726370,PNUSAE017061,
SRR7048479,PNUSAE013290,
SRR7133085,PNUSAE013839,
SRR7107009,PNUSAE013372,
SRR7178111,PNUSAE013914,
SRR7094145,PNUSAE013529,
SRR7094158,PNUSAE013532,
SRR7145660,PNUSAE013888,
SRR7414450,PNUSAE014048,
SRR7094137,PNUSAE013528,
SRR7166294,PNUSAE013962,
SRR7073100,PNUSAE013343,
SRR7048463,PNUSAE013288,
SRR7048466,PNUSAE013291,
SRR7073184,PNUSAE013277,
SRR7094140,PNUSAE013266,
SRR7073101,PNUSAE013349,
SRR7075065,PNUSAE013426,
SRR7073014,PNUSAE013129,
SRR7050045,PNUSAE013303,
SRR7094026,PNUSAE013432,
SRR7050033,PNUSAE013131,
SRR7094056,PNUSAE013293,
SRR7178231,PNUSAE013982,
SRR7075056,PNUSAE013428,
SRR7073111,PNUSAE013342,
SRR7073098,PNUSAE013351,
SRR7050079,PNUSAE013093,
SRR7050070,PNUSAE013175,
SRR7073266,PNUSAE013369,
SRR7073103,PNUSAE013341,
SRR7178179,PNUSAE014040,
SRR7107008,PNUSAE013370,
SRR7048454,PNUSAE013245,
SRR7050037,PNUSAE013130,
SRR7050017,PNUSAE013301,
SRR7179846,PNUSAE013502,
SRR7073108,PNUSAE013347,
SRR7050062,PNUSAE013305,
SRR7133463,PNUSAE013760,
SRR7107020,PNUSAE013643,
SRR7166304,PNUSAE013602,
SRR7244135,PNUSAE014367,
SRR7072999,PNUSAE013315,
SRR7086612,PNUSAE013561,
