Newick_label  ,Isolation Source,Original.Isolation Source,Isolation type,SNP cluster,outbreak,Notes
SRR10505985,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10506001,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10506026,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10590774,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10590811,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10590776,environmental sample,sponge,environmental,PDS000000366.382,NoOutbreak,
SRR10333960,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505975,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505980,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505989,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505991,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505993,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505994,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505995,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10505998,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10506018,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10590823,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR10591122,environmental sample,sponge,environmental,NoOutbreak,NoOutbreak,
SRR11892190,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR11892334,Raw Cow Milk,Raw Cow Milk,environmental,NoOutbreak,NoOutbreak,
SRR11892356,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR12125022,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR12125023,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR12125094,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR12125095,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR12125804,cheese,Raw Milk Cheese,environmental,NoOutbreak,NoOutbreak,
SRR10505996,cheese,Sandwich Spread,environmental,PDS000024555.2,NoOutbreak,
SRR10505999,environmental sample,sponge,environmental,PDS000024555.2,NoOutbreak,
SRR10506000,environmental sample,sponge,environmental,PDS000024555.2,NoOutbreak,
SRR10506002,environmental sample,sponge,environmental,PDS000024555.2,NoOutbreak,
SRR10506017,environmental sample,sponge,environmental,PDS000024555.2,NoOutbreak,
SRR10506024,environmental sample,sponge,environmental,PDS000024555.2,NoOutbreak,
SRR10505997,environmental sample,sponge,environmental,PDS000053729.2,NoOutbreak,
SRR10590772,environmental sample,sponge,environmental,PDS000053729.2,NoOutbreak,
SRR10590880,environmental sample,sponge,environmental,PDS000038837.3,NoOutbreak,
SRR11080119,Raw Cow Milk,Raw Cow Milk,environmental,PDS000056622.1,NoOutbreak,
SRR11080122,Raw Cow Milk,Raw Cow Milk,environmental,PDS000056622.1,NoOutbreak,
SRR10293901,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10293902,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10293903,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10293904,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10293905,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10293906,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10294012,fish,fish,environmental,PDS000052124.1,NoOutbreak,
SRR10436020,environmental sample,sponge,environmental,PDS000047913.2,NoOutbreak,
SRR10333961,environmental sample,sponge,environmental,PDS000054164.2,NoOutbreak,
SRR10590777,environmental sample,sponge,environmental,PDS000054164.2,NoOutbreak,
SRR10590881,environmental sample,sponge,environmental,PDS000054164.2,NoOutbreak,
SRR10591123,environmental sample,sponge,environmental,PDS000054164.2,NoOutbreak,
SRR10688427,environmental sample,sponge,environmental,PDS000054164.2,NoOutbreak,
SRR11080120,environmental sample,swab,environmental,PDS000056623.2,NoOutbreak,
SRR11080121,environmental sample,swab,environmental,PDS000056623.2,NoOutbreak,
SRR10804323,cheese,Raw Milk Cheese,environmental,PDS000025543.3,NoOutbreak,
SRR10804324,cheese,Raw Milk Cheese,environmental,PDS000025543.3,NoOutbreak,
SRR12125021,cheese,Raw Milk Cheese,environmental,PDS000065066.1,NoOutbreak,
SRR12125096,cheese,Raw Milk Cheese,environmental,PDS000065066.1,NoOutbreak,
SRR1181511,cheese,cheese,environmental/other,1,Outbreak,
SRR1195636,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1195637,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1195691,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1186333,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1195629,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1544332,environmental sample,,,1,Outbreak,Not in isolate browser
SRR1195670,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1186346,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1186334,environmental sample,environmental swab,environmental/other,1,Outbreak,
SRR1198952,cheese,aged hard cheese,environmental/other,1,Outbreak,
SRR1198878,cheese,fresh round cheese,environmental/other,1,Outbreak,
SRR1200763,cheese,spanish style cheese,environmental/other,1,Outbreak,
SRR1027093,clinical,NotRecorded,,1,Outbreak,Not in isolate browser
SRR1112195,clinical,stool,clinical,1,Outbreak,
SRR1112204,clinical,blood,clinical,1,Outbreak,
SRR1174760,clinical,NotRecorded,clinical,1,Outbreak,No isolation source
SRR1193825,clinical,blood,clinical,1,Outbreak,
SRR1193826,clinical,blood,clinical,1,Outbreak,
SRR2047444,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2048049,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2046978,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2046979,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2046980,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2046981,NotRecorded,,environmental/other,0,NoOutbreak,No isolation source
SRR2048409,clinical,stool,clinical,0,NoOutbreak,
SRR1198951,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1181539,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182716,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182219,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182220,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182225,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182221,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182222,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182223,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1182224,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
SRR1181522,fresh cheese curd,fresh cheese curd,environmental/other,1,Outbreak,
