#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	Host	SNP cluster	Min-same	Min-diff	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Listeria monocytogenes	OSF102948		PDT000643528.1	2019-12-11T23:29:57Z	USA:WA	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13541006	PDG000000001.2009	Listeria monocytogenes	GCA_010019305.1				2017	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		38002	165	3127025	PAIRED	ILLUMINA	SRR10665795	CFSAN	2019-12-11T22:57:19Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANCPG	AANCPG000000000.1
Listeria monocytogenes	OSF103475		PDT000658856.1	2020-01-10T16:27:18Z	USA:WA	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13821912	PDG000000001.2009	Listeria monocytogenes	GCA_010063845.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		101328	67	2987155	PAIRED	ILLUMINA	SRR10868627	CFSAN	2020-01-10T15:51:12Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDCG	AANDCG000000000.1
Listeria monocytogenes	OSF103498		PDT000658879.1	2020-01-10T16:27:23Z	USA:WA	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13821994	PDG000000001.2009	Listeria monocytogenes	GCA_010064245.1				2017	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		162058	52	3188369	PAIRED	ILLUMINA	SRR10868715	CFSAN	2020-01-10T15:56:17Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDCS	AANDCS000000000.1
Listeria monocytogenes	OSF103517		PDT000658913.1	2020-01-10T16:27:32Z	USA:OR	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13822034	PDG000000001.2009	Listeria monocytogenes	GCA_010064615.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		154043	52	3007722	PAIRED	ILLUMINA	SRR10868753	CFSAN	2020-01-10T16:02:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDDK	AANDDK000000000.1
Listeria monocytogenes	OSF103518		PDT000658915.1	2020-01-10T16:27:32Z	USA:WA	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13822033	PDG000000001.2009	Listeria monocytogenes	GCA_010064445.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		114660	53	2962911	PAIRED	ILLUMINA	SRR10868755	CFSAN	2020-01-10T16:02:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDDI	AANDDI000000000.1
Listeria monocytogenes	OSF103512		PDT000658919.1	2020-01-10T16:27:33Z	USA:OR	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13822032	PDG000000001.2009	Listeria monocytogenes	GCA_010064685.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		100006	56	3063455	PAIRED	ILLUMINA	SRR10868760	CFSAN	2020-01-10T16:02:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDDO	AANDDO000000000.1
Listeria monocytogenes	OSF103571		PDT000661954.1	2020-01-14T17:26:51Z	USA:WA	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13842078	PDG000000001.2009	Listeria monocytogenes	GCA_010065525.1				2018	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		264145	68	3186788	PAIRED	ILLUMINA	SRR10883446	CFSAN	2020-01-14T16:45:12Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDFS	AANDFS000000000.1
Listeria monocytogenes	OSF103560		PDT000661981.1	2020-01-14T17:26:58Z	USA:OR	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13842316	PDG000000001.2009	Listeria monocytogenes	GCA_010065765.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		155589	41	2979910	PAIRED	ILLUMINA	SRR10883473	CFSAN	2020-01-14T16:48:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDGQ	AANDGQ000000000.1
Listeria monocytogenes	OSF103572		PDT000661982.1	2020-01-14T17:26:58Z	USA:OR	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13842104	PDG000000001.2009	Listeria monocytogenes	GCA_010065775.1				2018		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		136913	46	3002068	PAIRED	ILLUMINA	SRR10883474	CFSAN	2020-01-14T16:48:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANDGR	AANDGR000000000.1
Listeria monocytogenes	OSF104160		PDT000672608.1	2020-01-30T18:11:47Z	USA:OR	Environmental Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN13945075	PDG000000001.2009	Listeria monocytogenes	GCA_010092025.1				2017		FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA215355		83950	81	2931930	PAIRED	ILLUMINA	SRR10990208	CFSAN	2020-01-30T17:48:14Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AANEKG	AANEKG000000000.1
Listeria monocytogenes	OSF106412		PDT000785931.1	2020-07-11T19:15:48Z		EMP Sponge	environmental/other					fosX=COMPLETE,lin=COMPLETE	SAMN15508332	PDG000000001.2009	Listeria monocytogenes	GCA_013515235.1				2019	arsD=HMM	OSF	3.8.4	2020-07-16.2	COMBINED	PRJNA215355		34028	179	3050197	PAIRED	ILLUMINA	SRR12200295	CFSAN	2020-07-11T18:50:53Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAUAQJ	AAUAQJ000000000.1
Listeria monocytogenes	OSF048856		PDT000128524.2	2016-05-04T17:13:13Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	2		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN04914051	PDG000000001.2009	Listeria monocytogenes	GCA_004666235.1				2015-08-24	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		437718	20	3021661	PAIRED	ILLUMINA	SRR3474601	CFSAN	2016-05-04T14:26:14Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AAAZVW	AAAZVW000000000.1
Listeria monocytogenes	OSF048861		PDT000128529.2	2016-05-04T17:13:14Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	3		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN04914056	PDG000000001.2009	Listeria monocytogenes	GCA_004666395.1				2015-08-24	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		176363	30	3008282	PAIRED	ILLUMINA	SRR3474606	CFSAN	2016-05-04T14:26:49Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AAAZWB	AAAZWB000000000.1
Listeria monocytogenes	OSF048865		PDT000128531.2	2016-05-04T17:13:14Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	3		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN04914059	PDG000000001.2009	Listeria monocytogenes	GCA_004666355.1				2015-08-24	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		165231	40	3000781	PAIRED	ILLUMINA	SRR3474608	CFSAN	2016-05-04T14:27:03Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AAAZWC	AAAZWC000000000.1
Listeria monocytogenes	OSF060787		PDT000191382.2	2017-03-07T17:35:40Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	2		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN06457930	PDG000000001.2009	Listeria monocytogenes	GCA_004686085.1				2014	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		524567	20	3047273	PAIRED	ILLUMINA	SRR5318328	CFSAN	2017-03-07T16:40:07Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AABBCM	AABBCM000000000.1
Listeria monocytogenes	OSF060761		PDT000191404.2	2017-03-07T17:35:43Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	8		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN06459877	PDG000000001.2009	Listeria monocytogenes	GCA_004685465.1				2014	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		98910	70	2999239	PAIRED	ILLUMINA	SRR5318376	CFSAN	2017-03-07T16:41:07Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AABBDJ	AABBDJ000000000.1
Listeria monocytogenes	OSF060796		PDT000192108.2	2017-03-10T23:33:07Z	USA:TX	Environmental sponge	environmental/other		PDS000024767.18	3		abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN06457921	PDG000000001.2009	Listeria monocytogenes	GCA_004687485.1				2014	bcrB=COMPLETE,bcrC=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		281084	29	2999761	PAIRED	ILLUMINA	SRR5335953	CFSAN	2017-03-10T21:35:06Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AABBGE	AABBGE000000000.1
