#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	Host	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
E.coli and Shigella			PDT000131771.2	2016-05-23T22:13:32Z	Denmark		environmental/other	PDS000034855.1	10		Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993590	PDG000000004.2285	Escherichia coli	GCA_012682245.1			espX1=PARTIAL,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	2014	emrE=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		158717	72	5188160	PAIRED	ILLUMINA	ERR1417736	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCJF	DABCJF000000000.1
E.coli and Shigella			PDT000131795.2	2016-05-23T22:13:34Z	Denmark		environmental/other	PDS000034855.1	10		Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993614	PDG000000004.2285	Escherichia coli	GCA_012681805.1			espX1=PARTIAL,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	2014	emrE=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		158717	69	5127189	PAIRED	ILLUMINA	ERR1417760	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:39:19Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCIF	DABCIF000000000.1
E.coli and Shigella			PDT000131761.2	2016-05-23T22:13:32Z	Denmark		environmental/other	PDS000034859.1	3		Bos primigenius	blaEC=COMPLETE,blaTEM-52=COMPLETE,blaTEM=COMPLETE	SAMEA3993580	PDG000000004.2285	Escherichia coli	GCA_012682885.1				2014	emrE=PARTIAL_END_OF_CONTIG,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		146888	111	4943650	PAIRED	ILLUMINA	ERR1417726	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	blaEC=COMPLETE,blaTEM-52=COMPLETE,blaTEM=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCJN	DABCJN000000000.1
E.coli and Shigella			PDT000131774.2	2016-05-23T22:13:32Z	Denmark		environmental/other	PDS000034859.1	3		Bos primigenius	blaEC=COMPLETE,blaTEM-52=COMPLETE,blaTEM=COMPLETE	SAMEA3993593	PDG000000004.2285	Escherichia coli	GCA_012682325.1				2014	emrE=PARTIAL_END_OF_CONTIG,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		146888	104	4943229	PAIRED	ILLUMINA	ERR1417739	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	blaEC=COMPLETE,blaTEM-52=COMPLETE,blaTEM=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCIV	DABCIV000000000.1
E.coli and Shigella			PDT000131784.2	2016-05-23T22:13:33Z	Denmark		environmental/other	PDS000044236.1	15		Bos primigenius	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SAMEA3993603	PDG000000004.2285	Escherichia coli	GCA_012681915.1			espX1=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	2014	ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		204918	79	4835350	PAIRED	ILLUMINA	ERR1417749	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,floR=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SKESA v. 2.2			562	DABCIJ	DABCIJ000000000.1
E.coli and Shigella			PDT000131799.2	2016-05-23T22:13:34Z	Denmark		environmental/other	PDS000039895.2		17	Bos primigenius	aac(3)-IV=COMPLETE,aadA1=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,dfrA1=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE,uhpT_E350Q=POINT	SAMEA3993618	PDG000000004.2285	Escherichia coli				ireA=COMPLETE,iss=COMPLETE,papA=COMPLETE,papC=COMPLETE,papH=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	2014	emrE=MISTRANSLATION,merC=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,ymgB=COMPLETE		3.2.3	2019-10-30.1	NUCLEOTIDE	PRJEB14086		199680	116	5221166	PAIRED	ILLUMINA	ERR1417764	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:39:19Z	562			aac(3)-IV=COMPLETE,aadA1=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cyaA_S352T=POINT,dfrA17=COMPLETE,dfrA1=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE,uhpT_E350Q=POINT				562		
E.coli and Shigella			PDT000131760.2	2016-05-23T22:13:32Z	Denmark		environmental/other				Bos primigenius	blaCTX-M-1=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT	SAMEA3993579	PDG000000004.2285	Escherichia coli	GCA_012682385.1			cdtB=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,ibeA=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iutA=COMPLETE,sfaF=COMPLETE,sfaS=COMPLETE,sslE=COMPLETE,vactox=COMPLETE	2014	emrE=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		224580	116	5313071	PAIRED	ILLUMINA	ERR1417725	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,blaCTX-M-1=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT	SKESA v. 2.2			562	DABCJW	DABCJW000000000.1
E.coli and Shigella			PDT000131767.2	2016-05-23T22:13:32Z	Denmark		environmental/other				Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993586	PDG000000004.2285	Escherichia coli	GCA_012681625.1			espX1=COMPLETE,fdeC=COMPLETE,lpfA=COMPLETE,sslE=HMM	2014	emrE=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		154639	82	5150071	PAIRED	ILLUMINA	ERR1417732	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCJC	DABCJC000000000.1
E.coli and Shigella			PDT000131778.2	2016-05-23T22:13:33Z	Denmark		environmental/other				Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993597	PDG000000004.2285	Escherichia coli	GCA_012682165.1			espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,sslE=HMM	2014	emrE=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		185589	52	4904813	PAIRED	ILLUMINA	ERR1417743	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCIX	DABCIX000000000.1
E.coli and Shigella			PDT000131780.2	2016-05-23T22:13:33Z	Denmark		environmental/other				Bos primigenius	ampC_C-42T=POINT,blaEC=COMPLETE	SAMEA3993599	PDG000000004.2285	Escherichia coli	GCA_012682125.1			espX1=COMPLETE,fdeC=COMPLETE,lpfA=COMPLETE,sslE=HMM	2014	ymgB=COMPLETE		3.6.7	2020-03-20.1	COMBINED	PRJEB14086		163669	70	5103348	PAIRED	ILLUMINA	ERR1417745	CENTRE FOR GENOMIC EPIDEMIOLOGY, NATIONAL FOOD INS	2016-05-23T20:38:20Z	562		Contig	acrF=COMPLETE,ampC_C-42T=POINT,blaEC=COMPLETE,mdtM=COMPLETE	SKESA v. 2.2			562	DABCIS	DABCIS000000000.1
