#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	Host	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Salmonella enterica	SC968	Derby	PDT000413660.1	2018-12-03T04:02:20Z	China: Mianyang	liver	clinical				chicken	aadA2=COMPLETE,dfrA1=COMPLETE,floR=COMPLETE,fosA7.3=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE	SAMN10457994	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Derby	GCA_003856205.1		peritonitis	sinH=HMM	2017-09-22	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,qacEdelta1=COMPLETE	Yong-Xiang Wang	3.8.4	2020-07-16.2	COMBINED	PRJNA506323	31.44 N 104.89 E	247525	66	4823443						28901		Contig	aadA2=COMPLETE,dfrA1=COMPLETE,floR=COMPLETE,fosA7.3=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE	SPAdes v. 3.12.0			28144	RQSD	RQSD00000000.1
Salmonella enterica	CS182	Anatum	PDT000447787.1	2019-01-23T00:06:03Z	Taiwan	stool	clinical				Chicken	aac(3)-IV=COMPLETE,aadA1=MISTRANSLATION,aadA2=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,catA2=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,oqxA=COMPLETE,oqxB=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SAMN09788964	PDG000000002.2044	Salmonella enterica	GCA_010254615.1		not collected	sinH=HMM	2007	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacL=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	Taiwan CDC	3.6.7	2020-01-22.1	COMBINED	PRJNA478278	not collected	399625	47	4846964	PAIRED	ILLUMINA	SRR7665412	CENTERS FOR DISEASE CONTROL, TAIWAN	2018-08-10T00:41:11Z	28901		Contig	aac(3)-IV=COMPLETE,aadA1=MISTRANSLATION,aadA2=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,catA2=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,mdsA=COMPLETE,mdsB=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SKESA v. 2.2			28901	DAAQAC	DAAQAC000000000.1
Salmonella enterica	72_18		PDT000459386.1	2019-01-31T03:46:37Z	Brazil:Sao Paulo, Jaboticabal	stool	clinical				Gallus gallus domesticus	dfrA25=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SAMN09870183	PDG000000002.2044	Salmonella enterica	GCA_004120575.1		Carrier	sinH=HMM	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	Instituto Adolfo Lutz	3.6.7	2020-01-22.1	COMBINED	PRJNA486973	21.25 S 48.32 W	375981	59	4836364						28901		Contig	dfrA25=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 5.8			28901	QVPI	QVPI00000000.1
Salmonella enterica	BCW_2794	Bredeney	PDT000197354.1	2017-03-22T15:10:09Z	Nigeria	chicken	environmental/other				Gallus gallus	blaTEM-1=COMPLETE,gyrA_D87N=POINT,tet(A)=COMPLETE	SAMN02368666	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Bredeney	GCA_002063755.1			sinH=HMM	2009	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	Technical University Of Denmark	3.6.7	2020-03-20.1	COMBINED	PRJNA203445		140457	66	4656858						28901		Contig	blaTEM-1=COMPLETE,gyrA_D87N=POINT,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.9.0			134047	MXZE	MXZE00000000.1
Salmonella enterica	BCW_2748	Newport	PDT000197380.1	2017-03-22T15:19:35Z	Denmark	chicken meat	environmental/other				Gallus gallus	aadA1=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,cmlA1=COMPLETE,dfrA12=PARTIAL_END_OF_CONTIG,lnu(F)=COMPLETE,tet(A)=COMPLETE	SAMN02368625	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Newport	GCA_002064285.1			sinH=HMM	2010	asr=HMM,golS=COMPLETE,golT=PARTIAL,qacL=COMPLETE	Technical University Of Denmark	3.8.4	2020-07-16.2	COMBINED	PRJNA203445		10308	872	4679325						28901		Contig	aadA1=COMPLETE,aadA2=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,cmlA1=COMPLETE,dfrA12=PARTIAL_END_OF_CONTIG,lnu(F)=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.9.0			108619	MYAQ	MYAQ00000000.1
Salmonella enterica	BCW_2729	Mbandaka	PDT000197390.1	2017-03-22T15:21:50Z	Nigeria	chicken	environmental/other				Gallus gallus	aadA1=COMPLETE,dfrA15=COMPLETE,gyrA_D87Y=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SAMN02368606	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Mbandaka	GCA_002064495.1			sinH=HMM	2009	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,qacEdelta1=COMPLETE	Technical University Of Denmark	3.8.4	2020-06-11.1	COMBINED	PRJNA203445		177457	79	4829236						28901		Contig	aadA1=COMPLETE,dfrA15=COMPLETE,gyrA_D87Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.9.0			192954	MYBH	MYBH00000000.1
Salmonella enterica	BCW_2702	Infantis	PDT000197408.1	2017-03-22T15:26:41Z	Iran	chicken	environmental/other				Gallus gallus	aadA1=COMPLETE,gyrA_D87Y=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SAMN02368579	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Infantis	GCA_002064835.1			sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	2011	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE	Technical University Of Denmark	3.8.4	2020-06-11.1	COMBINED	PRJNA203445		159087	78	4944920						28901		Contig	aadA1=COMPLETE,gyrA_D87Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.9.0			595	MYCH	MYCH00000000.1
Salmonella enterica	BCW_2696	Havana	PDT000197414.1	2017-03-22T15:28:06Z	Nigeria	chicken	environmental/other				Gallus gallus		SAMN02368573	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Havana	GCA_002064965.1			sinH=HMM	2009	asr=HMM,golS=COMPLETE,golT=COMPLETE	Technical University Of Denmark	3.6.7	2020-03-20.1	COMBINED	PRJNA203445		240596	56	4702412						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.9.0			179997	MYCN	MYCN00000000.1
Salmonella enterica	BCW_2778	Schwarzengrund	PDT000197423.1	2017-03-22T15:30:09Z	Denmark	chicken meat	environmental/other				Gallus gallus		SAMN02368653	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Schwarzengrund	GCA_002065105.1			sinH=HMM	2010	asr=HMM,golS=COMPLETE,golT=PARTIAL_END_OF_CONTIG	Technical University Of Denmark	3.8.4	2020-07-16.2	COMBINED	PRJNA203445		11581	816	4605326						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.9.0			340190	MXZO	MXZO00000000.1
Salmonella enterica	BCW_2719	Kentucky	PDT000197439.1	2017-03-22T15:34:50Z	Denmark	Chicken meat	environmental/other				Gallus gallus		SAMN02368596	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Kentucky	GCA_002065505.1			sinH=HMM	2007	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	Technical University Of Denmark	3.6.7	2020-03-20.1	COMBINED	PRJNA203445		323979	45	4663128						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.9.0			192955	MYBR	MYBR00000000.1
