#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	Host	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Listeria monocytogenes			PDT000742615.1	2020-05-21T22:23:28Z	Italy		clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828935	PDG000000001.2001	Listeria monocytogenes	GCA_013150565.1				2015			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		579831	13	3075524	PAIRED	ILLUMINA	ERR4151888	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:26Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIZL	DABIZL000000000.1
Listeria monocytogenes			PDT000741504.1	2020-05-20T15:24:39Z	Italy	liquor	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828959	PDG000000001.2001	Listeria monocytogenes	GCA_013136715.1				2013			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		252122	26	3054142	PAIRED	ILLUMINA	ERR4147307	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:24Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIYH	DABIYH000000000.1
Listeria monocytogenes			PDT000741506.1	2020-05-20T15:24:40Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828953	PDG000000001.2001	Listeria monocytogenes	GCA_013136755.1				2013			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		477725	22	3195697	PAIRED	ILLUMINA	ERR4147309	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:24Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIYF	DABIYF000000000.1
Listeria monocytogenes			PDT000741508.1	2020-05-20T15:24:40Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828955	PDG000000001.2001	Listeria monocytogenes	GCA_013136735.1				2013			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		294446	27	3206166	PAIRED	ILLUMINA	ERR4147311	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIYC	DABIYC000000000.1
Listeria monocytogenes			PDT000741511.1	2020-05-20T15:24:42Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828949	PDG000000001.2001	Listeria monocytogenes	GCA_013136935.1				2015			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		477611	21	3073926	PAIRED	ILLUMINA	ERR4147314	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIYB	DABIYB000000000.1
Listeria monocytogenes			PDT000741517.1	2020-05-20T15:24:46Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828972	PDG000000001.2001	Listeria monocytogenes	GCA_013136075.1				2016			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		476255	19	3082326	PAIRED	ILLUMINA	ERR4147320	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIXU	DABIXU000000000.1
Listeria monocytogenes			PDT000741518.1	2020-05-20T15:24:47Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828922	PDG000000001.2001	Listeria monocytogenes	GCA_013136015.1				2016			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		497875	18	2933580	PAIRED	ILLUMINA	ERR4147321	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIXS	DABIXS000000000.1
Listeria monocytogenes			PDT000741521.1	2020-05-20T15:24:48Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828973	PDG000000001.2001	Listeria monocytogenes	GCA_013136035.1				2013			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		476255	14	2968787	PAIRED	ILLUMINA	ERR4147324	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIXR	DABIXR000000000.1
Listeria monocytogenes			PDT000741535.1	2020-05-20T15:24:58Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828934	PDG000000001.2001	Listeria monocytogenes	GCA_013135735.1				2015			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		530147	35	3179352	PAIRED	ILLUMINA	ERR4147338	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIXA	DABIXA000000000.1
Listeria monocytogenes			PDT000741536.1	2020-05-20T15:24:59Z	Italy	blood	clinical				homo sapiens	fosX=COMPLETE,lin=COMPLETE	SAMEA6828994	PDG000000001.2001	Listeria monocytogenes	GCA_013135615.1				2013			3.8.4	2020-05-04.1	COMBINED	PRJEB34036		321574	29	3079387	PAIRED	ILLUMINA	ERR4147339	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLA LOMBAR	2020-05-16T22:26:25Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	DABIXD	DABIXD000000000.1
