#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	Host	SNP cluster	Min-same	Min-diff	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Listeria monocytogenes	FDA891229-33		PDT000093263.2	2015-11-06T22:17:41Z	USA:NY	environmental	environmental/other		PDS000072548.2	4	40	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN04102351	PDG000000001.2010	Listeria monocytogenes	GCA_004641425.1				2015-08-04	bcrB=COMPLETE,bcrC=COMPLETE,merA=HMM,merB=HMM,merR1=COMPLETE,merR2=PARTIAL,merT=HMM	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		504200	30	3126399	PAIRED	ILLUMINA	SRR2910882	CFSAN	2015-11-06T19:42:13Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AAAXZY	AAAXZY000000000.1
Listeria monocytogenes	FDA891229-41		PDT000093264.2	2015-11-06T22:17:41Z	USA:NY	environmental	environmental/other		PDS000072548.2	4	42	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SAMN04102352	PDG000000001.2010	Listeria monocytogenes	GCA_004641505.1				2015-08-04	bcrB=COMPLETE,bcrC=COMPLETE,merA=HMM,merB=HMM,merR1=COMPLETE,merR2=PARTIAL,merT=HMM	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		342947	43	3068079	PAIRED	ILLUMINA	SRR2910883	CFSAN	2015-11-06T19:42:24Z	1639		Contig	abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE	SKESA v. 2.2			1639	AAAXZX	AAAXZX000000000.1
Listeria monocytogenes	FSIS21720068		PDT000237210.2	2017-08-28T22:39:54Z	USA:NY	RTE Product	environmental/other		PDS000025045.25	1	26	fosX=COMPLETE,lin=COMPLETE	SAMN07568699	PDG000000001.2010	Listeria monocytogenes	GCA_004607855.1				2017	bcrB=COMPLETE,bcrC=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		127679	45	3073955	PAIRED	ILLUMINA	SRR5985801	USDA-FSIS	2017-08-28T21:38:11Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAAVYR	AAAVYR000000000.1
Listeria monocytogenes	FSIS1504141		PDT000085007.2	2015-09-30T15:11:33Z	USA:NY	environmental: non-food-contact surface	environmental/other		PDS000025067.29	2	4	fosX=COMPLETE,lin=COMPLETE	SAMN04123308	PDG000000001.2010	Listeria monocytogenes	GCA_004497875.1				2015	bcrB=COMPLETE,bcrC=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		524885	17	3141402	PAIRED	ILLUMINA	SRR2540522	USDA-FSIS	2015-09-30T13:27:07Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2	GX6A16.0290	GX6A12.0368	1639	AAAPRF	AAAPRF000000000.1
Listeria monocytogenes	FSIS1504142		PDT000085009.2	2015-09-30T15:11:33Z	USA:NY	environmental: non-food-contact surface	environmental/other		PDS000025067.29	2	3	fosX=COMPLETE,lin=COMPLETE	SAMN04123309	PDG000000001.2010	Listeria monocytogenes	GCA_004497865.1				2015	bcrB=COMPLETE,bcrC=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		524792	18	3141685	PAIRED	ILLUMINA	SRR2540524	USDA-FSIS	2015-09-30T13:28:06Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2	GX6A16.0290	GX6A12.0368	1639	AAAPRL	AAAPRL000000000.1
Listeria monocytogenes	FSIS1504143		PDT000085019.2	2015-09-30T15:11:33Z	USA:NY	environmental: non-food-contact surface	environmental/other		PDS000025067.29	2	3	fosX=COMPLETE,lin=COMPLETE	SAMN04123310	PDG000000001.2010	Listeria monocytogenes	GCA_004497935.1				2015	bcrB=COMPLETE,bcrC=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		524790	18	3071930	PAIRED	ILLUMINA	SRR2540932	USDA-FSIS	2015-09-30T14:30:04Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2	GX6A16.0290	GX6A12.0368	1639	AAAPRM	AAAPRM000000000.1
Listeria monocytogenes	FSIS1503329		PDT000087004.2	2015-10-15T18:19:56Z	USA:NY	RTE Product	environmental/other		PDS000025067.29	2	3	fosX=COMPLETE,lin=COMPLETE	SAMN04168578	PDG000000001.2010	Listeria monocytogenes	GCA_004638205.1				2015	bcrB=COMPLETE,bcrC=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		525086	17	3057812	PAIRED	ILLUMINA	SRR2659319	USDA-FSIS	2015-10-15T17:29:11Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2	GX6A16.0290	GX6A12.0368	1639	AAAXXA	AAAXXA000000000.1
Listeria monocytogenes	06B02873E-1		PDT000430613.1	2019-01-04T22:01:51Z	USA:NY	drain raw meat	environmental/other		PDS000025067.29	6	8	fosX=COMPLETE,lin=COMPLETE	SAMN10686116	PDG000000001.2010	Listeria monocytogenes	GCA_004468285.1				2006-04-04	bcrB=COMPLETE,bcrC=COMPLETE	NYAG	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		96833	83	3068898	PAIRED	ILLUMINA	SRR8397347	CFSAN	2019-01-04T21:42:11Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAANLJ	AAANLJ000000000.1
Listeria monocytogenes	FDA00009498		PDT000087001.2	2015-10-15T17:19:07Z	USA:NY	frozen oriental blend vegetables	environmental/other		PDS000003294.17	4		fosX=COMPLETE,lin=COMPLETE	SAMN04155491	PDG000000001.2010	Listeria monocytogenes	GCA_004505105.1				2015-09-16	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		436994	18	3100818	PAIRED	ILLUMINA	SRR2658496	CFSAN	2015-10-15T15:58:49Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAAPYS	AAAPYS000000000.1
Listeria monocytogenes	FDA00009499		PDT000087002.2	2015-10-15T17:19:07Z	USA:NY	frozen oriental blend vegetables	environmental/other		PDS000003294.17	0		fosX=COMPLETE,lin=COMPLETE	SAMN04155492	PDG000000001.2010	Listeria monocytogenes	GCA_004638145.1				2015-09-16	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		436994	18	3144107	PAIRED	ILLUMINA	SRR2658497	CFSAN	2015-10-15T15:58:55Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAAXWY	AAAXWY000000000.1
Listeria monocytogenes	FDA888429-50		PDT000088596.6	2018-06-26T23:03:46Z	USA:NY	environmental	environmental/other		PDS000003294.17	1		fosX=COMPLETE,lin=COMPLETE	SAMN04192067	PDG000000001.2010	Listeria monocytogenes	GCA_004451325.1				2015	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA215355		436853	24	3112163	PAIRED	ILLUMINA	SRR2905858	CFSAN	2015-11-05T15:43:44Z	1639		Contig	fosX=COMPLETE,lin=COMPLETE	SKESA v. 2.2			1639	AAAMGH	AAAMGH000000000.1
Listeria monocytogenes	FDA888430-173		PDT000092303.5	2018-06-26T23:03:39Z	USA:NY	environmental	environmental/other		PDS000003294.17	1		fosX=COMPLETE,lin=COMPLETE	SAMN04192087	PDG000000001.2010	Listeria monocytogenes					2015	bcrB=COMPLETE,bcrC=COMPLETE	FDA	3.6.7	2020-01-22.1	NUCLEOTIDE	PRJNA215355		436853	29	3040769	PAIRED	ILLUMINA	SRR2830761	CFSAN	2015-10-27T18:32:11Z	1639			fosX=COMPLETE,lin=COMPLETE				1639		
Listeria monocytogenes	FDA888430-166		PDT000092305.2	2015-10-27T19:19:31Z	USA:NY	environmental	environmental/other		PDS000003294.17	2		fosX=COMPLETE,lin=COMPLETE	SAMN04192081	PDG000000001.2010	Listeria monocytogenes					2015		FDA	3.6.7	2020-01-22.1	NUCLEOTIDE	PRJNA215355		345532	35	2922871	PAIRED	ILLUMINA	SRR2830759	CFSAN	2015-10-27T18:31:57Z	1639			fosX=COMPLETE,lin=COMPLETE				1639		
