#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	Host	SNP cluster	Min-same	Min-diff	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Salmonella enterica	FSIS1502277	Kentucky	PDT000083311.2	2015-09-16T16:10:58Z	USA:MS	raw intact chicken	environmental/other						SAMN04090027	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_008651655.1				2015	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		236763	63	4870772	PAIRED	ILLUMINA	SRR2421583	USDA-FSIS	2015-09-16T15:19:04Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2	JGPX01.0005		192955	AAKYPV	AAKYPV000000000.1
Salmonella enterica	FSIS1505174	Kentucky	PDT000098319.2	2015-12-18T21:21:18Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN04350824	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_008731275.1				2015	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		97302	91	4877343	PAIRED	ILLUMINA	SRR3033306	USDA-FSIS	2015-12-18T20:06:10Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2	JGPX01.0581		192955	AALCVG	AALCVG000000000.1
Salmonella enterica	FSIS1504920	Kentucky	PDT000095494.3	2015-11-30T16:19:19Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN04297464	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_008470385.1				2015	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		129507	64	4757497	PAIRED	ILLUMINA	SRR2962901	USDA-FSIS	2015-11-30T15:53:04Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2	JGPX01.0005		192955	AAKNBP	AAKNBP000000000.1
Salmonella enterica	FSIS1605979	Tennessee	PDT000120084.2	2016-03-23T14:11:10Z	USA:MS	animal-swine-market swine	environmental/other					aac(3)-IV=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN04575038	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Tennessee	GCA_008517125.1	amoxicillin-clavulanic acid=S,ampicillin=S,azithromycin=S,cefoxitin=S,ceftriaxone=S,chloramphenicol=S,ciprofloxacin=S,gentamicin=I,meropenem=S,nalidixic acid=S,streptomycin=R,sulfisoxazole=S,tetracycline=R,trimethoprim-sulfamethoxazole=S			2016	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		208706	55	4979560	PAIRED	ILLUMINA	SRR3284589	USDA-FSIS	2016-03-23T13:12:09Z	28901		Contig	aac(3)-IV=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			143221	AAKQLP	AAKQLP000000000.1
Salmonella enterica	FSIS1700570	Kentucky	PDT000222921.2	2017-07-06T20:39:55Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN07327467	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009336535.1				2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		264827	48	4876664	PAIRED	ILLUMINA	SRR5808862	USDA-FSIS	2017-07-06T20:11:12Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAMLXZ	AAMLXZ000000000.1
Salmonella enterica	FSIS1702572	Kentucky	PDT000222603.2	2017-07-03T21:42:09Z	USA:MS	raw intact chicken	environmental/other					blaCMY-2=COMPLETE	SAMN07312498	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009334455.1			iutA=COMPLETE	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		109500	120	4994641	PAIRED	ILLUMINA	SRR5800845	USDA-FSIS	2017-07-03T21:25:29Z	28901		Contig	blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG	SKESA v. 2.2			192955	AAMLVY	AAMLVY000000000.1
Salmonella enterica	FSIS1608970	Kentucky	PDT000168341.2	2016-12-08T22:33:21Z	USA:MS	comminuted chicken	environmental/other						SAMN06124896	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009067885.1				2016	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		227138	64	4869454	PAIRED	ILLUMINA	SRR5088811	USDA-FSIS	2016-12-08T20:20:07Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AALXHR	AALXHR000000000.1
Salmonella enterica	FSIS1608692	Kentucky	PDT000167484.2	2016-12-05T01:29:42Z	USA:MS	comminuted chicken	environmental/other						SAMN06103554	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009058485.1			iutA=COMPLETE	2016	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		148129	108	5043599	PAIRED	ILLUMINA	SRR5075625	USDA-FSIS	2016-12-05T00:18:09Z	28901		Contig	mdsA=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG	SKESA v. 2.2			192955	AALXFF	AALXFF000000000.1
Salmonella enterica	FSIS1701140	Kentucky	PDT000209418.2	2017-05-18T21:51:31Z	USA:MS	chicken carcass	environmental/other						SAMN07141747	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009240965.1				2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		236636	52	4834758	PAIRED	ILLUMINA	SRR5576043	USDA-FSIS	2017-05-18T20:46:20Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAMHPT	AAMHPT000000000.1
Salmonella enterica	FSIS1607545	Derby	PDT000148987.2	2016-09-16T19:19:12Z	USA:MS	animal-swine-market swine	environmental/other					fosA7=COMPLETE,tet(B)=COMPLETE	SAMN05784353	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Derby	GCA_008974545.1				2016	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		130134	127	4956005	PAIRED	ILLUMINA	SRR4252408	USDA-FSIS	2016-09-16T18:24:21Z	28901		Contig	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			28144	AALRQH	AALRQH000000000.1
