#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	Host	SNP cluster	Min-same	Min-diff	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Salmonella enterica	CVM N19S0020	Lille	PDT000565776.1	2019-08-16T15:34:07Z	USA:CA-UC Davis	Chicken Breasts	environmental/other						SAMN12587197	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Lille	GCA_010967315.1			sinH=HMM	2019	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	FDA	3.6.7	2020-01-22.1	COMBINED	PRJNA292661		166420	69	4990408	PAIRED	ILLUMINA	SRR9984457	FDA-CVM	2019-08-16T15:22:34Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			486997	AAPADK	AAPADK000000000.1
Salmonella enterica	CVM N17S1088	Typhimurium var. 5-	PDT000359461.1	2018-08-08T05:24:58Z	USA:PA	Chicken Breasts	environmental/other					blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SAMN09771014	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	GCA_008455345.1			ybtP=COMPLETE,ybtQ=COMPLETE	2017	asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,merP=HMM,merR=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		187576	75	4998121	PAIRED	ILLUMINA	SRR7653324	FDA-CVM	2018-08-08T02:00:11Z	28901		Contig	blaCMY-2=COMPLETE,blaTEM-1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SKESA v. 2.2			1620419	AAKMCQ	AAKMCQ000000000.1
Salmonella enterica	CVM N17S933	Kentucky	PDT000359420.1	2018-08-08T05:24:50Z	USA:GA	Chicken Breasts	environmental/other		PDS000072603.28	7	23	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN09770993	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_008456405.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		240653	83	4908194	PAIRED	ILLUMINA	SRR7653283	FDA-CVM	2018-08-08T02:01:11Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAKMBH	AAKMBH000000000.1
Salmonella enterica	CVM N17S470	Kentucky	PDT000385721.1	2018-09-27T13:18:52Z	USA:CO	Chicken Breasts	environmental/other		PDS000072603.28	5	15	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN10132860	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_005767675.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		376094	56	4919581	PAIRED	ILLUMINA	SRR7907763	FDA-CVM	2018-09-27T09:46:13Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AADUDM	AADUDM000000000.1
Salmonella enterica	CVM N17S1139	Kentucky	PDT000385744.1	2018-09-27T13:18:55Z	USA:TX	Chicken Breasts	environmental/other		PDS000072603.28	4	43	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN10132988	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_005545175.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		161853	66	4926238	PAIRED	ILLUMINA	SRR7907786	FDA-CVM	2018-09-27T09:46:13Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AADDUX	AADDUX000000000.1
Salmonella enterica	CVM N17S978	Kentucky	PDT000391752.1	2018-10-16T17:41:06Z	USA:MN	Chicken Breasts	environmental/other		PDS000072603.28	7	29	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN10242839	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_005779785.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=PARTIAL_END_OF_CONTIG	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		154633	78	4915900	PAIRED	ILLUMINA	SRR8064314	FDA-CVM	2018-10-16T17:31:12Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AADUPF	AADUPF000000000.1
Salmonella enterica	CVM N18S0283	Kentucky	PDT000518274.1	2019-06-06T17:52:20Z	USA:NY	Chicken Breasts	environmental/other		PDS000072603.28	11	54	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN11967959	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006339685.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		86125	113	4912402	PAIRED	ILLUMINA	SRR9210854	FDA-CVM	2019-06-06T17:04:13Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAFEVN	AAFEVN000000000.1
Salmonella enterica	CVM N18S0090	Kentucky	PDT000518298.1	2019-06-06T17:52:24Z	USA:TX	Chicken Breasts	environmental/other		PDS000072603.28	0	7	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN11967909	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006339035.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		388089	59	4920381	PAIRED	ILLUMINA	SRR9210878	FDA-CVM	2019-06-06T17:05:13Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAFEWT	AAFEWT000000000.1
Salmonella enterica	CVM N18S0728	Kentucky	PDT000518316.1	2019-06-06T17:52:27Z	USA:NY	Chicken Breasts	environmental/other		PDS000072603.28	1	11	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN11968080	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006338355.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		241824	85	4905820	PAIRED	ILLUMINA	SRR9210896	FDA-CVM	2019-06-06T17:05:13Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAFEXE	AAFEXE000000000.1
Salmonella enterica	CVM N18S0443	Kentucky	PDT000518390.1	2019-06-06T17:52:40Z	USA:NM	Chicken Breasts	environmental/other		PDS000072603.28	1	9		SAMN11967997	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006341665.1				2018		FDA				PRJNA292661		100390	107	4915439	PAIRED	ILLUMINA	SRR9210971	FDA-CVM	2019-06-06T17:08:14Z	28901		Contig		SKESA v. 2.2			192955	AAFFAC	AAFFAC000000000.1
Salmonella enterica	CVM N18S0555	Kentucky	PDT000518399.1	2019-06-06T17:52:42Z	USA:GA	Chicken Breasts	environmental/other		PDS000072603.28	4	51	aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN11968029	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006341515.1			iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		197373	60	4903922	PAIRED	ILLUMINA	SRR9210980	FDA-CVM	2019-06-06T17:09:14Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAFFAL	AAFFAL000000000.1
Salmonella enterica	CVM N18S1563	Kentucky	PDT000550455.1	2019-07-29T14:32:37Z	USA:TN-Nashville	Chicken Breasts	environmental/other		PDS000072603.28	5	57	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,tet(B)=COMPLETE	SAMN12360188	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_007861625.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		122833	88	5012778	PAIRED	ILLUMINA	SRR9852919	FDA-CVM	2019-07-29T13:55:30Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAJAOB	AAJAOB000000000.1
Salmonella enterica	CVM N18S1072	Kentucky	PDT000550488.1	2019-07-29T14:32:42Z	USA:NC	Chicken Breasts	environmental/other		PDS000072603.28	6	35	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN12360113	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_007862445.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		179377	69	4906225	PAIRED	ILLUMINA	SRR9852952	FDA-CVM	2019-07-29T13:55:30Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAJAPI	AAJAPI000000000.1
Salmonella enterica	CVM N18S0913	Kentucky	PDT000550495.1	2019-07-29T14:32:43Z	USA:TN-Nashville	Chicken Breasts	environmental/other		PDS000072603.28	13	16	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=PARTIAL_END_OF_CONTIG	SAMN12360074	PDG000000002.2056	Salmonella enterica subsp. enterica serovar Kentucky	GCA_007862125.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-01-06.1	COMBINED	PRJNA292661		106855	108	4906109	PAIRED	ILLUMINA	SRR9852959	FDA-CVM	2019-07-29T13:55:30Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=PARTIAL_END_OF_CONTIG	SKESA v. 2.2			192955	AAJAPR	AAJAPR000000000.1
